,1.2만,4년 전,와 개좋네        
@UGRS_Peaches,334,4년 전,반쯤 미쳐가는 나 망가져 나의 삶 넌 내게서 나를 지워가고 또 나를 부셔버려 다 추락한 나를 봐 눈앞에서 멀어지는 너의 속도는      로 너의 속도는      로 너의 속도는      로 눈앞에서 점이 되어버려 부질없는 것이 되어버렸어 대체 누가 쉽다고 말을 해 내 기억 영혼까지 전부 가져가죠 왜 내 숨이 나를 턱 끝까지 몰고 가네 왜 사라지는 나를 보는 기분이란 건 어때 사라지는 너의 속도 어림잡아    킬로 정도 돼 보여 뒤돌지 말고 가 지금 난 좀 사이코야 이럴수록 니가 필요하면 넌 다 알잖아 또 숨을 참는 나 곧 죽어가는 난 난 너를 지켜줄게 나를 지나갈 동안 조금씩 멀어지는 상태 두 눈을 감고 뜨면 사라질 것 같애 수많은 기억들을 돌고 돌아 너는 다시 우릴 마주칠 수 있나 반쯤 미쳐가는 나 망가져 나의 삶 넌 내게서 나를 지워가고 또 나를 부셔버려 다 추락한 나를 봐 눈앞에서 멀어지는 너의 속도는      로 너의 속도는      로 너의 속도는      로 잘못된 길에 빠진 듯이 괜히 왔어 제자리로 다 알면서 왜 다시 여기 어제의 너는 너가 아닌 듯이 분홍빛의 환상인 듯 그래 원래 이게 나였었지 변하는 건 없어 별다를 것 없고 못 꺼낸 말은 많아도 지나쳐 버린 후고 우리는 뭐 옆자리에서 반대 자리 다른 종점      로 가장 너와 가까울 마지막일 걸 지금이 난 너가 지나간 길을 걍 멍히 보고 있을 수 밖에 죽여 찬 공긴 날 쟤넨 내 아픔도 다 남의 거라 하니까 난 입을 꾹 닫네 너의 등 앞에 원하는 건 없어 사랑은 더 없고 다친 나의 마음에 비해 너무 빠른 너의 발걸음 원하는 건 없어 사랑은 더 없고 다친 나의 마음에 비해 너무 빠른 너의 발걸음 반쯤 미쳐가는 나 망가져 나의 삶 넌 내게서 나를 지워가고 또 나를 부셔버려 다 추락한 나를 봐 눈앞에서 멀어지는 너의 속도는      로 너의 속도는      로 너의 속도는      로 너의 속도는      로 너의 속도는      로
@user-eg6ou7qz7z,14,4년 전,형 제발 이거 더 재평가 받으면 좋을것 같아     갓띵곡인데 모두가 알았으면 좋겠다  
@user-ch2jz2vj7i,5,3년 전,이게    사람많은 술집    헌팅술집에서 이노래 들으면 게 쌉지림 전율흐름 몸에
@Klee_kk,7,2년 전,진짜 노래 개좋아서 백만번 돌려듣는중임 광활한  벌판에서 뛰어가면서 노래뷰르는 느낌
@user-dy3zx1ih9l,26,4년 전,아 몰라 한요한 사랑해 오늘도 내일도 모레도    일 한요한할거야 이번 앨범도 대만족이야  
@user-gd5lg7jm2p,320,4년 전,     형님 차선변경 불가능합니다
@user-st9gq3wv3g,762,4년 전(수정됨),한요한       스윙스       해쉬스완        블랙넛        노엘 알콜농도    
@turneverythingintoart,10,2년 전,학교에서 이거 부르다 흑역사 하나 생겼네요 감사합니다
@jebeomjin9809,14,3년 전, 년전에 처음 나왔을 때 엄청 많이 들었었는데 지금 들어도 여전히 좋네   
@user-qw3re9rb2t,50,3년 전,눈앞에서 멀어지는 너의 속도가              대체 누구랑 헤어지신겁니까
@user-bz7vd2ix7n,40,3년 전,노래가 진짜 좋고 들어보면 왜 제목이      인지 알겠네요 진짜 좋네요 가사도 진짜 맘에들고 배경음도 좋고 무비에 나오신 남성분들도 진짜 멋지고 좋네요 랩이면 랩 노래면 노래 악기면 악기 유머먼 유머 투블럭이 잘어울리는 남자 한요한이라는 말이 나올정도로 진짜 좋네요 그리고 이 노래를 불르신 분 한요한이라는 분의 특유의 음색이 너무 좋네요 진짜로
@user-to7qm1mj6t,377,4년 전(수정됨),             의 속도로 한요한으로 부터 멀어지고 있는데 시간당      라면 약        시간 뒤에 지구를 한바퀴 돌아 한요한과 다시 만날것이다 하루에      라면         시간 뒤에 한요한과 만날 것이다 
@user-kf6uv6dg4x,200,3년 전,멋진 노래  잘생긴 얼굴 귀여운 외모 멋진 샤우팅 소름돋는 노래 실력을 가지고 있는          하현우
@user-gz5bg8rs8o,393,3년 전,형 혹시 노엘이랑 디스전하는일이 있으면 그냥 이거불러
@user-ph3ow2fw3l,3,3년 전,옷매장에서 듣고 며칠째 계속찾았는데 드디어 찾았다  노래 개좋다
@yesyes5811,3,1년 전,운동할때 들으면 세상 누구보다 내가 제일쎔
@ychild1807,6,4년 전,진짜 인생곡 맨날 이것만 들으련다
@eloykah.1590,45,4년 전,                                                                                                                                                            
@nyx1911,25,4년 전,                                   
@user-ud3zx9qr5k,2,3년 전,  살 아줌마인데 이 노래에 꽂혀버렸다 라디오에서 우연히듣고 나두모르게 온몸에 전율이    
@Tv-wi8uu,30,4년 전,뭔데 마지막 쥑이네  
